fetched_at,route_name,group,itinerary,origin,destination,depart,ret,price,currency,airlines,stops,duration_minutes,source,url
2026-09-17T13:20:30+00:00,台北-澳洲東岸,台北-澳洲東岸,TPE>SYD>TPE,TPE,SYD,2026-12-12,2026-12-24,33323,TWD,Scoot,1,755,fast_flights,https://www.google.com/travel/flights/search?tfs=GhwSCjIwMjYtMTItMTIoAmoFEgNUUEVyBRIDU1lEGhwSCjIwMjYtMTItMjQoAmoFEgNTWURyBRIDVFBFQgEBSAGYAQE=&hl=&curr=TWD
2026-09-17T13:20:30+00:00,台北-澳洲東岸,台北-澳洲東岸,TPE>SYD>TPE,TPE,SYD,2026-12-12,2026-12-24,36440,TWD,Scoot,1,755,fast_flights,https://www.google.com/travel/flights/search?tfs=GhwSCjIwMjYtMTItMTIoAmoFEgNUUEVyBRIDU1lEGhwSCjIwMjYtMTItMjQoAmoFEgNTWURyBRIDVFBFQgEBSAGYAQE=&hl=&curr=TWD
2026-09-17T13:20:30+00:00,台北-澳洲東岸,台北-澳洲東岸,TPE>SYD>TPE,TPE,SYD,2026-12-12,2026-12-24,37290,TWD,Cathay Pacific,1,685,fast_flights,https://www.google.com/travel/flights/search?tfs=GhwSCjIwMjYtMTItMTIoAmoFEgNUUEVyBRIDU1lEGhwSCjIwMjYtMTItMjQoAmoFEgNTWURyBRIDVFBFQgEBSAGYAQE=&hl=&curr=TWD
2026-09-17T13:20:34+00:00,台北-澳洲東岸,台北-澳洲東岸,TPE>SYD>TPE,TPE,SYD,2026-12-13,2026-12-25,33323,TWD,Scoot,1,755,fast_flights,https://www.google.com/travel/flights/search?tfs=GhwSCjIwMjYtMTItMTMoAmoFEgNUUEVyBRIDU1lEGhwSCjIwMjYtMTItMjUoAmoFEgNTWURyBRIDVFBFQgEBSAGYAQE=&hl=&curr=TWD
2026-09-17T13:20:34+00:00,台北-澳洲東岸,台北-澳洲東岸,TPE>SYD>TPE,TPE,SYD,2026-12-13,2026-12-25,33323,TWD,Scoot,1,755,fast_flights,https://www.google.com/travel/flights/search?tfs=GhwSCjIwMjYtMTItMTMoAmoFEgNUUEVyBRIDU1lEGhwSCjIwMjYtMTItMjUoAmoFEgNTWURyBRIDVFBFQgEBSAGYAQE=&hl=&curr=TWD
2026-09-17T13:20:34+00:00,台北-澳洲東岸,台北-澳洲東岸,TPE>SYD>TPE,TPE,SYD,2026-12-13,2026-12-25,34423,TWD,China Southern,1,700,fast_flights,https://www.google.com/travel/flights/search?tfs=GhwSCjIwMjYtMTItMTMoAmoFEgNUUEVyBRIDU1lEGhwSCjIwMjYtMTItMjUoAmoFEgNTWURyBRIDVFBFQgEBSAGYAQE=&hl=&curr=TWD
2026-09-17T13:20:38+00:00,台北-澳洲東岸,台北-澳洲東岸,TPE>SYD>TPE,TPE,SYD,2026-12-14,2026-12-26,29937,TWD,Scoot,1,755,fast_flights,https://www.google.com/travel/flights/search?tfs=GhwSCjIwMjYtMTItMTQoAmoFEgNUUEVyBRIDU1lEGhwSCjIwMjYtMTItMjYoAmoFEgNTWURyBRIDVFBFQgEBSAGYAQE=&hl=&curr=TWD
2026-09-17T13:20:38+00:00,台北-澳洲東岸,台北-澳洲東岸,TPE>SYD>TPE,TPE,SYD,2026-12-14,2026-12-26,33054,TWD,Scoot,1,755,fast_flights,https://www.google.com/travel/flights/search?tfs=GhwSCjIwMjYtMTItMTQoAmoFEgNUUEVyBRIDU1lEGhwSCjIwMjYtMTItMjYoAmoFEgNTWURyBRIDVFBFQgEBSAGYAQE=&hl=&curr=TWD
2026-09-17T13:20:38+00:00,台北-澳洲東岸,台北-澳洲東岸,TPE>SYD>TPE,TPE,SYD,2026-12-14,2026-12-26,35877,TWD,Cebu Pacific,1,675,fast_flights,https://www.google.com/travel/flights/search?tfs=GhwSCjIwMjYtMTItMTQoAmoFEgNUUEVyBRIDU1lEGhwSCjIwMjYtMTItMjYoAmoFEgNTWURyBRIDVFBFQgEBSAGYAQE=&hl=&curr=TWD
2026-09-17T13:20:41+00:00,台北-澳洲東岸,台北-澳洲東岸,TPE>SYD>TPE,TPE,SYD,2026-12-15,2026-12-27,27577,TWD,Scoot,1,755,fast_flights,https://www.google.com/travel/flights/search?tfs=GhwSCjIwMjYtMTItMTUoAmoFEgNUUEVyBRIDU1lEGhwSCjIwMjYtMTItMjcoAmoFEgNTWURyBRIDVFBFQgEBSAGYAQE=&hl=&curr=TWD
